provider,offer_state,offer_created,offer_id,buuid,trading_name,business_type,industry_l1,industry_l2,industry_l3,retail_location,intended_product,primary_service,province,current_transaction_profile,current_size,owner_nationality
Lulalend,5. offer rejected : provider,2021-09-15 01:00:58,24ec3a8b-3976-418b-ba52-34ab44c6ab07,1555578241161-5c616fbf-e0e9-4e49-9d11-20b8ae40b432,Own it muzik,Company,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Yoco Online,In-Person,Card Machine,Gauteng,Daily,7 - medium,South African
Retail Capital,5. offer rejected : provider,2021-10-20 20:42:51,1634762571131-2e2d7cfd-aa38-4ce6-8662-b16d659b4660,1547196667303-8de6d15c-4566-470e-8977-ca9be4262d05,Peter’s Barber Shop,Company,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Yoco Online,In-Person,Card Machine,Western Cape,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-11-16 11:46:15,1637063174601-9ea2a07f-e990-483d-8b7e-37a1b33e5c65,1560980106953-1fd4c500-e013-44cb-a663-fb904e9e1853,Gueye and Brother Trading invest,Company,Retail,Retail apparel,Clothing and Accessories,Yoco Online,In-Person,Card Machine,Eastern Cape,Daily,2 - micro,Foreigner
Retail Capital,5. offer rejected : provider,2021-10-28 12:04:08,1635422647509-9fe12f4b-6914-44db-8b25-1c08c737eb43,1471606017532-76bd4dab-792e-4deb-8ad8-a6d44f5922c7,Tubetech,Company,Home and repair,Home repair,General contracting/Construction,Yoco Online,In-Person,Card Machine,Kwazulu-Natal,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-09-02 16:40:08,1630600808093-695e1710-c18a-42b5-86bf-2ce7838459d9,1471869286358-fdc228c1-8fc1-4070-b9be-243aabd79909,Cape Masai leather,Company,Retail,Retail art,Craft market,Yoco Online,In-Person,Card Machine,Western Cape,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-11-25 07:44:15,1637826254587-59c7fbf4-bc0c-4f71-b87f-3051a6fbb01c,1471869286358-fdc228c1-8fc1-4070-b9be-243aabd79909,Cape Masai leather,Company,Retail,Retail art,Craft market,Yoco Online,In-Person,Card Machine,Western Cape,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-09-04 07:28:39,1630740518516-54405d5b-0c03-448c-bd8f-881c8db50d7e,1471869286358-fdc228c1-8fc1-4070-b9be-243aabd79909,Cape Masai leather,Company,Retail,Retail art,Craft market,Yoco Online,In-Person,Card Machine,Western Cape,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-09-20 17:26:51,1632158811375-84e26930-d9bc-450e-8b6b-34ccf294a4b6,1489738068558-d548daca-303c-4b94-8a4d-d876d6336751,Luwinchi,Sole Proprietor,"Food, drink and hospitality",Takeaway,Quick service restaurant with delivery,Yoco Online,In-Person,Card Machine,,Daily,4 - small_1,South African
Retail Capital,5. offer rejected : provider,2021-11-24 19:43:48,1637783027726-3b64b6a6-3029-49c6-8080-16b97f60d448,1489738068558-d548daca-303c-4b94-8a4d-d876d6336751,Luwinchi,Sole Proprietor,"Food, drink and hospitality",Takeaway,Quick service restaurant with delivery,Yoco Online,In-Person,Card Machine,,Daily,4 - small_1,South African
Lulalend,5. offer rejected : provider,2021-11-23 01:18:13,7a7f6a3a-1031-464c-9ffc-fafb3d8375c0,1512124108081-5d462775-53e2-4f4f-9ccf-15f4e0614a46,Royaltea,Company,"Food, drink and hospitality",Sit-in,Café,Yoco Online,In-Person,Card Machine,Western Cape,Daily,5 - small_2,Foreigner
Lulalend,5. offer rejected : provider,2021-11-23 09:33:34,c40c4e87-3e34-4c75-8a29-2c91184a1298,1512124108081-5d462775-53e2-4f4f-9ccf-15f4e0614a46,Royaltea,Company,"Food, drink and hospitality",Sit-in,Café,Yoco Online,In-Person,Card Machine,Western Cape,Daily,5 - small_2,Foreigner
Retail Capital,5. offer rejected : provider,2021-10-06 05:42:52,1633498971805-5e047652-f46b-47fd-99b2-3e81db4a26e0,1551100453469-57c35973-7476-40e2-a848-30a2dd5d269b,King Bean Coffee Co,Sole Proprietor,Personal services,Personal services,Other Services,Yoco Online,In-Person,Card Machine,Gauteng,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-10-07 04:03:37,1633579416965-d3595822-a819-4069-9544-6b386f81bcc1,1551100453469-57c35973-7476-40e2-a848-30a2dd5d269b,King Bean Coffee Co,Sole Proprietor,Personal services,Personal services,Other Services,Yoco Online,In-Person,Card Machine,Gauteng,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-11-23 16:24:00,1637684639730-b1c61f84-b0d9-4a86-8f3a-c929b7fedb4f,1553615597046-9b181488-e624-4307-8e0c-c647cad9663f,Bra Steve T/A Esthers,Sole Proprietor,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Incredible Connection,In-Person,Card Machine,Gauteng,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-11-05 09:36:56,1636105015871-e79d59f2-96ee-4e7c-a9ac-a53e4fae0ed2,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,Ani pro pets and pet products,Sole Proprietor,Retail,Other retail,Pet store,Yoco Online,In-Person,Card Machine,Gauteng,Daily,5 - small_2,South African
Retail Capital,5. offer rejected : provider,2021-11-05 14:17:59,1636121878746-14fd4254-d2f3-4abb-bb85-700257ed744b,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,Ani pro pets and pet products,Sole Proprietor,Retail,Other retail,Pet store,Yoco Online,In-Person,Card Machine,Gauteng,Daily,5 - small_2,South African
Lulalend,5. offer rejected : provider,2021-11-05 10:02:40,8bffec00-7b65-4684-aa83-c480efa46c1e,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,Ani pro pets and pet products,Sole Proprietor,Retail,Other retail,Pet store,Yoco Online,In-Person,Card Machine,Gauteng,Daily,5 - small_2,South African
Lulalend,5. offer rejected : provider,2021-11-05 01:48:10,40967428-37fe-4308-bb38-9912c7022918,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,Ani pro pets and pet products,Sole Proprietor,Retail,Other retail,Pet store,Yoco Online,In-Person,Card Machine,Gauteng,Daily,5 - small_2,South African
Lulalend,5. offer rejected : provider,2021-11-04 10:02:27,d7e0419b-1950-4dfc-b947-fd362dc075ae,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,Ani pro pets and pet products,Sole Proprietor,Retail,Other retail,Pet store,Yoco Online,In-Person,Card Machine,Gauteng,Daily,5 - small_2,South African
Retail Capital,5. offer rejected : provider,2021-11-25 10:25:26,1637835925798-99b0c51e-0fc4-41f3-a798-fe6a77f8cc72,1574413743478-cbc74fdd-efe5-4a78-abbe-0cd59a0f0e5f,Velvet Coffee co,Company,Transportation,Goods transportation,Moving/Storage/Delivery,Takealot,In-Person,Card Machine,Kwazulu-Natal,Daily,3 - very_small,South African
Lulalend,5. offer rejected : provider,2021-09-20 01:19:33,97c5290d-290c-48e5-9193-fe565803c327,1479108360638-bf43ff5d-7e91-43c3-aeb5-f2fda4502650,sapmok,Company,Retail,Retail apparel,Clothing and Accessories,Yoco Online,In-Person,Card Machine,Gauteng,Daily,6 - small_3,South African
Retail Capital,5. offer rejected : provider,2021-11-13 21:27:40,1636838859529-566f65e5-0263-437d-bf9f-1607455dcabd,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,Safari spice& samoosa,Company,Retail,Retail home,Food/Beverage/Grocery,Yoco Online,In-Person,Card Machine,Gauteng,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-11-11 05:05:46,1636607145848-41a9d2d6-df2c-4833-8ee5-6ca906cf6fbe,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,Safari spice& samoosa,Company,Retail,Retail home,Food/Beverage/Grocery,Yoco Online,In-Person,Card Machine,Gauteng,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-11-10 05:51:28,1636523488092-d441307b-1c3f-4da2-afcd-bd3a11e113d6,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,Safari spice& samoosa,Company,Retail,Retail home,Food/Beverage/Grocery,Yoco Online,In-Person,Card Machine,Gauteng,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-11-15 06:25:07,1636957507358-cebcbd0c-f13f-4c8c-9838-7e5645835820,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,Safari spice& samoosa,Company,Retail,Retail home,Food/Beverage/Grocery,Yoco Online,In-Person,Card Machine,Gauteng,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-11-07 20:41:50,1636317710338-a7bc7646-3c0c-4a45-bdc1-58f3018165c8,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,Safari spice& samoosa,Company,Retail,Retail home,Food/Beverage/Grocery,Yoco Online,In-Person,Card Machine,Gauteng,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-11-02 05:53:05,1635832384897-e5d2e457-f94b-42ea-b0ff-26991646a247,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,Safari spice& samoosa,Company,Retail,Retail home,Food/Beverage/Grocery,Yoco Online,In-Person,Card Machine,Gauteng,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-11-12 11:28:28,1636716508032-b666bc11-a816-4251-b776-17569a596a7f,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,Safari spice& samoosa,Company,Retail,Retail home,Food/Beverage/Grocery,Yoco Online,In-Person,Card Machine,Gauteng,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-11-06 11:18:42,1636197521560-acdf40d6-7697-46ee-aa55-b4a6ab5f44f1,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,Safari spice& samoosa,Company,Retail,Retail home,Food/Beverage/Grocery,Yoco Online,In-Person,Card Machine,Gauteng,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-11-11 10:56:14,1636628173985-ba8834a3-6533-45cf-ab59-c7d9c1682452,1508242147176-601f2265-35ce-49ab-b372-e6f4bdec49db,Chilangos Mexican Kitchen,Company,"Food, drink and hospitality",Sit-in,Café,Yoco Online,In-Person,Card Machine,Western Cape,Daily,4 - small_1,South African
Retail Capital,5. offer rejected : provider,2021-11-22 20:24:44,1637612683901-21aebfed-f78e-4931-9223-f959a25f5ae9,1517567512986-dd1b0795-47e6-4232-ac4c-4ec28749773e,51,Company,"Food, drink and hospitality",Sit-in,Restaurant,Yoco Online,In-Person,Card Machine,Western Cape,Daily,4 - small_1,South African
Retail Capital,5. offer rejected : provider,2021-09-09 07:57:45,1631174265410-3e5bbf3f-cf6e-4b3e-9aeb-2afdc5da62f9,1512302249032-b4289826-1258-427b-be14-8cab04a14c26,Kleine Muis,Sole Proprietor,Retail,Retail leisure,Toy/Hobby/Games,Yoco Online,In-Person,Card Machine,Western Cape,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-10-26 11:39:25,1635248365142-ce6e0790-a1c3-4c65-b6db-73d83cf93b50,1543915907471-052079f7-ee80-4592-8582-e525e69753dd,Kryolan City Maponya Mall,Sole Proprietor,Retail,Other retail,Other Retail,Yoco Store Johannesburg,In-Person,Card Machine,Gauteng,Daily,5 - small_2,South African
Retail Capital,5. offer rejected : provider,2021-11-03 11:07:46,1635937666017-f3fa3ec1-1606-4a6c-92c9-565bbfbc3bd6,1561456066925-6b573d4e-07b6-4954-8404-7ef1d37e4ec9,DNA Body Shop,Company,Home and repair,Asset repair,Automotive services,Yoco Online,In-Person,Card Machine,Mpumalanga,Weekly,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-10-22 08:56:48,1634893008460-c1704678-f1ba-413b-9e4f-2ee4e132d11e,1571576108504-059a0264-c79e-4722-abed-3cb01abd38f0,Stall 25,Sole Proprietor,Retail,Retail apparel,Clothing and Accessories,Incredible Connection,In-Person,Card Machine,Western Cape,Daily,2 - micro,South African
Retail Capital,5. offer rejected : provider,2021-10-21 08:55:37,1634806536741-5faa366b-6653-4b35-a4c1-dd89fd80b526,1570796428588-b82413a7-e0bc-4c05-a220-92e1d1a32f2b,C Edgcumbe,Sole Proprietor,"Healthcare, beauty and fitness",Health,Medical & Health Practitioners/Services,Yoco Online,In-Person,Card Machine,Kwazulu-Natal,Daily,2 - micro,South African
Retail Capital,5. offer rejected : provider,2021-09-05 00:21:08,1630801268308-ea878105-212b-481b-9a7b-a4267f72d21d,1574767111221-ed344e8a-2375-4812-b2c2-856bda0d040e,makgatho Solutions,Company,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Yoco Online,In-Person,Card Machine,Gauteng,Daily,4 - small_1,South African
Lulalend,5. offer rejected : provider,2021-11-03 01:49:34,ed56ba63-87fc-465b-bcd8-31e3e75bb63a,1474456872760-a5bb19ee-3efe-4890-a785-aafa38cadc8a,Thi Art Restaurant,Company,"Food, drink and hospitality",Sit-in,Restaurant,Yoco Online,In-Person,Card Machine,Northern Cape,Daily,6 - small_3,South African
Retail Capital,5. offer rejected : provider,2021-09-06 11:34:06,1630928045769-27cabf8a-7764-4039-ae2a-dc2c00a09c84,1497430261259-c4f2549f-0eb9-4e77-8439-fb2033be2caa,Baobab Wholefood Café,Sole Proprietor,"Food, drink and hospitality",Takeaway,Food truck / cart,Yoco Online,In-Person,Card Machine,Eastern Cape,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-10-15 10:21:26,1634293286192-b67333d7-a52a-42dd-bfc4-5e6cea1b9edd,1502362170276-b94af44d-0d73-4818-b614-292dc65f299a,Alicea olivier,Sole Proprietor,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Yoco Online,In-Person,Card Machine,Limpopo,Daily,2 - micro,South African
Retail Capital,5. offer rejected : provider,2021-11-25 16:51:50,1637859110079-f639f497-a630-4906-9962-94da21c3d9e5,1507368822213-d5ecea52-edc2-4a60-9032-efedc162f4a1,scissors hair salon,Sole Proprietor,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Yoco Online,In-Person,Card Machine,Western Cape,Daily,2 - micro,South African
Retail Capital,5. offer rejected : provider,2021-09-13 12:07:14,1631534834026-e9d5bef1-a73e-4bc5-8b69-f3150d0b3710,1547725886131-57b948f4-f35e-4a89-9340-88bd1212237d,Cornelia's food's and takeaway,Sole Proprietor,"Food, drink and hospitality",Other food,Other,Yoco Online,In-Person,Card Machine,Kwazulu-Natal,Daily,1 - low_volume,South African
Retail Capital,5. offer rejected : provider,2021-11-26 14:30:31,1637937031390-26106744-a804-4419-a447-41e8173949e4,1549369380501-4a76d419-be6c-4ff6-9705-5d2186f58fa4,Dr H Burger Inc,Sole Proprietor,Professional services,Other services,Other,Yoco Online,In-Person,Card Machine,Free State,Daily,4 - small_1,South African
Retail Capital,5. offer rejected : provider,2021-09-09 10:31:41,1631183500989-7402f3fe-2f31-4d62-8fe1-63b055ea43d5,1551779963382-7e02ed3f-95e2-4886-b601-cabad1c9e60d,Eloht beauty,Sole Proprietor,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Yoco Online,In-Person,Card Machine,Gauteng,Daily,2 - micro,South African
Retail Capital,5. offer rejected : provider,2021-09-08 19:59:45,1631131185459-6ff884af-fd7c-4664-bade-96fceaef3d19,1564573777032-ec1f4743-af11-48ee-aa48-16ee3e724db2,La Bella Dessertery,Sole Proprietor,Personal services,Education,Education/tutor,Incredible Connection,In-Person,Card Machine,Kwazulu-Natal,Daily,2 - micro,South African
Retail Capital,5. offer rejected : provider,2021-11-07 10:43:13,1636281792795-c92e56b7-946d-426d-85a4-f6f37cbc7f91,1565868460341-a68d9079-2d50-4abc-aadd-e4a3897e0717,SALTED Surf,Company,"Healthcare, beauty and fitness",Sport,Recreation/Sports,Yoco Online,In-Person,Card Machine,Eastern Cape,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-09-20 13:25:44,1632144343704-05d13dad-ead9-4f1f-bfb3-12b3faaf0723,1565868460341-a68d9079-2d50-4abc-aadd-e4a3897e0717,SALTED Surf,Company,"Healthcare, beauty and fitness",Sport,Recreation/Sports,Yoco Online,In-Person,Card Machine,Eastern Cape,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-10-05 09:54:06,1633427646018-dd04d708-9272-4326-a562-6e2edbb94f0c,1532008314048-9d580958-8614-4f4a-a8f4-23ee3e565b70,Bio Sculpture / Evo nails by Celeste,Sole Proprietor,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Yoco Online,In-Person,Card Machine,Limpopo,Daily,1 - low_volume,South African
Retail Capital,5. offer rejected : provider,2021-11-18 11:00:04,1637233203601-46a9ce0c-31ca-4f6a-b438-8a35ae72e8f5,1571473002958-76439d6b-a90b-4ec2-81fb-b788a3085537,Bubbly Fish (Pty) Limited,Company,Online,Online,Online Retail,Yoco Online,In-Person,Card Machine,Free State,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-11-03 10:02:43,1635933763065-67e0b6f0-1529-42a0-8199-ae7895f63240,1571473002958-76439d6b-a90b-4ec2-81fb-b788a3085537,Bubbly Fish (Pty) Limited,Company,Online,Online,Online Retail,Yoco Online,In-Person,Card Machine,Free State,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-11-04 10:48:16,1636022895820-85c3915d-f444-40d6-a030-73eeb91de305,1571473002958-76439d6b-a90b-4ec2-81fb-b788a3085537,Bubbly Fish (Pty) Limited,Company,Online,Online,Online Retail,Yoco Online,In-Person,Card Machine,Free State,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-10-15 12:18:56,1634300336223-d4f26eda-a724-43c4-b392-3e34f9ee5208,1575187818389-77a3c484-209d-4a09-9d07-65f0ef8d2cae,Signature Laser Studio,Sole Proprietor,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Yoco Online,In-Person,Card Machine,Kwazulu-Natal,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-10-02 12:46:50,1633178810486-9b9e7059-df11-4e3b-a97c-77340a9be8a7,1577890113823-7279469c-9405-456d-ad07-8b3f114b5a0e,Urban Elephant Pty Ltd,Company,Professional services,Other services,Other,Yoco Online,In-Person,Card Machine,Northern Cape,Daily,5 - small_2,South African
Retail Capital,5. offer rejected : provider,2021-11-16 08:29:15,1637051354507-8dc9277f-c5f6-4596-ab35-72461a23f6bf,1501776832244-78854f9f-65b6-4d54-b3c2-2892c0da2362,Morgan's Liquor Store,Sole Proprietor,Retail,Retail home,Food/Beverage/Grocery,Yoco Online,In-Person,Card Machine,Northern Cape,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-10-11 10:52:34,1633949554254-15fa092e-b493-4cb6-b4fb-6e3be32673e3,1476287149812-67f30162-7183-4a55-b05e-a1cf39342124,AJ'S CHAFF POZZY,Sole Proprietor,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Yoco Online,In-Person,Card Machine,Gauteng,Daily,2 - micro,South African
Retail Capital,5. offer rejected : provider,2021-11-15 11:55:49,1636977348722-07da5c0a-86e5-4ba7-b20a-afac7297b2b2,1539279493393-a679f971-0d0d-411c-8605-f794a486651a,The Laser Bar- Parkhurst (Jhb),Sole Proprietor,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Yoco Store Johannesburg,In-Person,Card Machine,Gauteng,Daily,5 - small_2,South African
Retail Capital,5. offer rejected : provider,2021-09-20 18:41:44,1632163304371-0efbdda9-8b80-4642-bc31-0c1978a1ff35,1550658890053-8878ee95-f2e4-49af-8a5c-360e6a26188b,Karoo Daisy,Sole Proprietor,Professional services,Other services,Other,Yoco Online,In-Person,Card Machine,Western Cape,Daily,5 - small_2,South African
Retail Capital,5. offer rejected : provider,2021-09-21 02:16:46,1632190605721-f05319a1-4c46-4699-b2b0-0404f370a919,1570870577807-45df98b6-bbd9-48bd-bd31-6c822e1df005,Bxtreme Cycles,Company,Professional services,Other services,Other,Yoco Online,In-Person,Card Machine,Gauteng,Daily,4 - small_1,South African
Retail Capital,5. offer rejected : provider,2021-11-01 07:32:50,1635751970488-fc8c61e6-333a-4554-aee6-cc81ee9c5653,1575006110009-4422f13e-bc51-4ca0-b035-97240434136e,Romytherapy,Sole Proprietor,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Yoco Online,In-Person,Card Machine,Western Cape,Daily,2 - micro,South African
Retail Capital,5. offer rejected : provider,2021-10-22 15:56:44,1634918204095-9313b242-349b-4608-8cd3-f9a6ee975ea6,1574942256239-bc2aa261-d428-4353-a112-e0f351193700,TVmaster,Company,Home and repair,Other repair,Other Home & Repair,Yoco Online,In-Person,Card Machine,Eastern Cape,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-11-03 10:04:12,1635933851895-4d2d11ec-bcec-4e00-965c-a5d4bed6539a,1574942256239-bc2aa261-d428-4353-a112-e0f351193700,TVmaster,Company,Home and repair,Other repair,Other Home & Repair,Yoco Online,In-Person,Card Machine,Eastern Cape,Daily,4 - small_1,Foreigner
Retail Capital,5. offer rejected : provider,2021-11-03 06:07:47,1635919667264-39cdb6f7-3ae0-4c68-8cbf-b6873d43b0da,1576763068564-e25be0ca-55b6-41b5-9771-75f7110d18d0,ICONIC BLACK (PTY) LTD,Company,Retail,Retail apparel,Clothing and Accessories,Yoco Online,In-Person,Card Machine,Western Cape,Daily,3 - very_small,Foreigner
Lulalend,5. offer rejected : provider,2021-11-19 02:32:26,0d3880cd-32f2-4e42-82e0-135dce4f4caf,1578033574725-099132f6-7e24-459f-86e1-0b34b607e8b0,Wayslim Clinic,Company,Personal services,Personal services,Other Services,Yoco Online,In-Person,Card Machine,Gauteng,Daily,5 - small_2,South African
Lulalend,5. offer rejected : provider,2021-11-18 11:02:21,d2400a1d-5659-4324-9413-13e2eee0949c,1578033574725-099132f6-7e24-459f-86e1-0b34b607e8b0,Wayslim Clinic,Company,Personal services,Personal services,Other Services,Yoco Online,In-Person,Card Machine,Gauteng,Daily,5 - small_2,South African
Lulalend,5. offer rejected : provider,2021-11-17 11:02:22,4653b379-af62-4499-868e-13d5026bf99d,1578033574725-099132f6-7e24-459f-86e1-0b34b607e8b0,Wayslim Clinic,Company,Personal services,Personal services,Other Services,Yoco Online,In-Person,Card Machine,Gauteng,Daily,5 - small_2,South African
Retail Capital,5. offer rejected : provider,2021-10-29 08:48:03,1635497283025-8fa37086-f5f5-424f-8bc5-a41823914797,1581591062841-49173f13-cc8d-4608-9fe8-e3af1013219b,Trail Shed (Pty) Ltd,Company,Retail,Retail leisure,Sporting Goods,Incredible Connection,In-Person,Card Machine,Kwazulu-Natal,Daily,4 - small_1,South African
